Year,NOC,region,continent,Medals
2000,KGZ,Kyrgyzstan,Asia,1
2000,KSA,Saudi Arabia,Asia,2
2000,KUW,Kuwait,Asia,1
2000,VIE,Vietnam,Asia,1
2004,UAE,United Arab Emirates,Asia,1
2008,AFG,Afghanistan,Asia,1
2008,KGZ,Kyrgyzstan,Asia,2
2008,MRI,Mauritius,Africa,1
2008,SRB,Serbia,Europe,15
2008,SUD,Sudan,Africa,1
2008,TJK,Tajikistan,Asia,2
2008,TOG,Togo,Africa,1
2008,VIE,Vietnam,Asia,1
2012,AFG,Afghanistan,Asia,1
2012,BOT,Botswana,Africa,1
2012,BRN,Bahrain,Asia,1
2012,CYP,Cyprus,Europe,1
2012,GAB,Gabon,Africa,1
2012,GRN,Grenada,Americas,1
2012,GUA,Guatemala,Americas,1
2012,KSA,Saudi Arabia,Asia,4
2012,KUW,Kuwait,Asia,1
2012,MNE,Montenegro,Europe,14
2012,SRB,Serbia,Europe,16
2012,TJK,Tajikistan,Asia,1
2016,BRN,Bahrain,Asia,2
2016,FIJ,Fiji,Oceania,13
2016,GRN,Grenada,Americas,1
2016,JOR,Jordan,Asia,1
2016,KOS,Kosovo,Europe,1
2016,SRB,Serbia,Europe,54
2016,TJK,Tajikistan,Asia,1
2016,UAE,United Arab Emirates,Asia,1
2016,VIE,Vietnam,Asia,2
