NOC,Medals_2016,Pred_2028_Ensemble,Pred_2028_Low,Pred_2028_High,Is_Host,Rank_2028,Delta_vs_2016
USA,264,277.1,273.6,280.6,1,1,13.1
GER,159,146.7,143.2,150.3,0,2,-12.3
GBR,145,121.4,117.9,125.0,0,3,-23.6
FRA,96,102.0,98.4,105.5,0,4,6.0
CHN,113,100.6,97.1,104.1,0,5,-12.4
AUS,82,96.8,93.3,100.4,0,6,14.8
RUS,115,94.7,91.2,98.2,0,7,-20.3
BRA,50,93.0,89.5,96.5,0,8,43.0
JPN,64,77.2,73.7,80.8,0,9,13.2
CAN,69,69.0,65.4,72.5,0,10,0.0
ITA,72,68.0,64.5,71.5,0,11,-4.0
ESP,45,55.6,52.1,59.2,0,12,10.6
NED,47,40.4,36.9,44.0,0,13,-6.6
SRB,54,38.9,35.4,42.4,0,14,-15.1
ARG,22,32.9,29.4,36.5,0,15,10.9
KOR,26,31.6,28.1,35.1,0,16,5.6
NZL,36,28.7,25.1,32.2,0,17,-7.3
DEN,41,28.2,24.6,31.7,0,18,-12.8
SWE,28,27.7,24.1,31.2,0,19,-0.3
HUN,22,21.6,18.1,25.2,0,20,-0.4
RSA,23,21.3,17.8,24.9,0,21,-1.7
POL,16,21.1,17.6,24.7,0,22,5.1
CRO,24,21.1,17.5,24.6,0,23,-2.9
UKR,15,19.7,16.2,23.2,0,24,4.7
JAM,30,18.7,15.2,22.3,0,25,-11.3
BLR,12,18.4,14.9,22.0,0,26,6.4
BEL,21,17.8,14.3,21.4,0,27,-3.2
ROU,16,17.2,13.6,20.7,0,28,1.2
CZE,15,16.7,13.2,20.3,0,29,1.7
CUB,11,16.6,13.1,20.1,0,30,5.6
KAZ,18,16.3,12.8,19.9,0,31,-1.7
NGR,18,14.7,11.2,18.2,0,32,-3.3
KEN,13,13.8,10.3,17.3,0,33,0.8
NOR,19,12.7,9.2,16.2,0,34,-6.3
AZE,18,10.1,6.6,13.6,0,35,-7.9
COL,8,9.4,5.8,12.9,0,36,1.4
ETH,8,8.9,5.4,12.4,0,37,0.9
SUI,11,8.6,5.0,12.1,0,38,-2.4
MEX,5,8.4,4.8,11.9,0,39,3.4
TUR,8,8.2,4.7,11.7,0,40,0.2
SVK,8,8.2,4.7,11.7,0,41,0.2
IRI,8,8.1,4.6,11.7,0,42,0.1
IND,2,7.8,4.2,11.3,0,43,5.8
FIJ,13,7.0,3.4,10.5,0,44,-6.0
UZB,13,7.0,3.4,10.5,0,45,-6.0
EGY,3,6.5,3.0,10.1,0,46,3.5
LTU,7,6.3,2.7,9.8,0,47,-0.7
ARM,4,6.2,2.6,9.7,0,48,2.2
BAH,6,6.1,2.5,9.6,0,49,0.1
PRK,7,5.9,2.3,9.4,0,50,-1.1
GRE,7,5.8,2.2,9.3,0,51,-1.2
SLO,4,5.6,2.1,9.2,0,52,1.6
GEO,7,5.6,2.1,9.1,0,53,-1.4
BUL,7,5.4,1.8,8.9,0,54,-1.6
IRL,3,5.3,1.7,8.8,0,55,2.3
THA,6,5.2,1.6,8.7,0,56,-0.8
MAS,8,5.0,1.5,8.5,0,57,-3.0
TPE,5,4.6,1.0,8.1,0,58,-0.4
INA,4,4.6,1.1,8.2,0,59,0.6
MNE,0,4.1,0.6,7.6,0,60,4.1
BRN,2,4.0,0.5,7.5,0,61,2.0
MGL,2,3.9,0.4,7.5,0,62,1.9
EST,4,3.5,0.0,7.0,0,63,-0.5
FIN,1,3.4,0.0,6.9,0,64,2.4
