NOC,Bronze,Gold,Silver,Total,Rank
USA,1197,2472,1333,5002,1
URS,596,832,635,2063,2
GBR,620,636,729,1985,3
GER,649,592,538,1779,4
ITA,454,518,474,1446,5
FRA,587,465,575,1627,6
HUN,363,432,328,1123,7
SWE,358,354,396,1108,8
AUS,510,342,452,1304,9
GDR,227,339,277,843,10
CHN,258,334,317,909,11
RUS,331,296,278,905,12
NED,371,245,302,918,13
JPN,333,230,287,850,14
NOR,167,227,196,590,15
DEN,177,179,236,592,16
KOR,175,171,206,552,17
CUB,116,164,129,409,18
ROU,290,161,200,651,19
CAN,344,158,239,741,20
FRG,188,144,172,504,21
FIN,217,132,125,474,22
IND,40,131,19,190,23
YUG,92,130,161,383,24
POL,242,111,185,538,25
ESP,135,109,243,487,26
BRA,191,109,175,475,27
SUI,139,99,178,416,28
BEL,166,96,193,455,29
EUN,67,92,61,220,30
ARG,91,91,92,274,31
NZL,82,90,55,227,32
TCH,107,79,144,330,33
GRE,84,62,109,255,34
CRO,36,54,48,138,35
BUL,141,53,142,336,36
UKR,95,42,51,188,37
PAK,34,42,45,121,38
TUR,28,40,27,95,39
JAM,44,38,75,157,40
KEN,31,34,41,106,41
RSA,52,32,47,131,42
URU,30,31,2,63,43
MEX,54,30,26,110,44
AUT,53,29,88,170,45
NGR,46,23,30,99,46
ETH,22,22,9,53,47
ANZ,5,20,4,29,48
CMR,1,20,1,22,49
KAZ,29,19,22,70,50
BLR,66,18,40,124,51
IRI,29,18,21,68,52
ZIM,1,17,4,22,53
PRK,34,16,15,65,54
SRB,41,15,29,85,55
CZE,32,15,24,71,56
BAH,15,14,11,40,57
SVK,12,13,17,42,58
FIJ,0,13,0,13,59
SCG,26,12,26,64,60
INA,13,11,17,41,61
IRL,13,9,13,35,62
EST,24,9,10,43,63
THA,13,9,8,30,64
UZB,17,9,7,33,65
GEO,18,8,6,32,66
AZE,25,7,12,44,67
TTO,17,7,8,32,68
EGY,12,7,8,27,69
SLO,15,6,9,30,70
LTU,48,6,7,61,71
MAR,12,6,5,23,72
COL,14,5,9,28,73
ALG,8,5,4,17,74
POR,26,4,11,41,75
LUX,0,4,2,6,76
TPE,18,3,28,49,77
LAT,6,3,11,20,78
CHI,20,3,9,32,79
TUN,7,3,3,13,80
DOM,2,3,2,7,81
MGL,14,2,10,26,82
ARM,9,2,5,16,83
VEN,10,2,3,15,84
UGA,2,2,3,7,85
PER,0,1,14,15,86
SGP,4,1,4,9,87
VIE,0,1,3,4,88
PUR,6,1,2,9,89
HKG,1,1,2,4,90
ISR,7,1,1,9,91
HAI,5,1,1,7,92
IOA,3,1,1,5,93
CRC,2,1,1,4,94
TJK,2,1,1,4,95
BRN,1,1,1,3,96
CIV,1,1,1,3,97
SYR,1,1,1,3,98
BDI,0,1,1,2,99
ECU,0,1,1,2,100
GRN,0,1,1,2,101
PAN,2,1,0,3,102
MOZ,1,1,0,2,103
SUR,1,1,0,2,104
UAE,1,1,0,2,105
JOR,0,1,0,1,106
KOS,0,1,0,1,107
PAR,0,0,17,17,108
ISL,2,0,15,17,109
MNE,0,0,14,14,110
MAS,5,0,11,16,111
NAM,0,0,4,4,112
PHI,7,0,3,10,113
MDA,5,0,3,8,114
LIB,2,0,2,4,115
SRI,0,0,2,2,116
TAN,0,0,2,2,117
GHA,22,0,1,23,118
BOH,11,0,1,12,119
KSA,5,0,1,6,120
QAT,4,0,1,5,121
KGZ,2,0,1,3,122
NIG,1,0,1,2,123
UAR,1,0,1,2,124
ZAM,1,0,1,2,125
AHO,0,0,1,1,126
BOT,0,0,1,1,127
CYP,0,0,1,1,128
GAB,0,0,1,1,129
GUA,0,0,1,1,130
ISV,0,0,1,1,131
SEN,0,0,1,1,132
SUD,0,0,1,1,133
TGA,0,0,1,1,134
WIF,5,0,0,5,135
AFG,2,0,0,2,136
KUW,2,0,0,2,137
BAR,1,0,0,1,138
BER,1,0,0,1,139
DJI,1,0,0,1,140
ERI,1,0,0,1,141
GUY,1,0,0,1,142
IRQ,1,0,0,1,143
MKD,1,0,0,1,144
MON,1,0,0,1,145
MRI,1,0,0,1,146
TOG,1,0,0,1,147
