NOC,Medals_2016,GDP_USD_B,GDP_log
ARG,22,545.0,2.7363965022766426
AUS,82,1205.0,3.080987046910887
AUT,2,387.0,2.5877109650189114
AZE,18,37.0,1.568201724066995
BEL,21,467.0,2.6693168805661123
BLR,12,48.0,1.6812412373755872
BRA,50,1796.0,3.2543063323312857
CAN,69,1530.0,3.184691430817599
CHN,113,11199.0,4.049179244645967
COL,8,282.0,2.450249108319361
CRO,24,51.0,1.7075701760979363
CUB,11,89.0,1.9493900066449128
CZE,15,193.0,2.285557309007774
DEN,41,306.0,2.48572142648158
DOM,1,71.0,1.8512583487190752
EGY,3,336.0,2.526339277389844
ESP,45,1237.0,3.0923696996291206
ETH,8,72.0,1.8573324964312685
FRA,96,2465.0,3.391816923613249
GBR,145,2619.0,3.418135498425232
GEO,7,14.0,1.146128035678238
GER,159,3467.0,3.5399538416563967
GRE,7,192.0,2.2833012287035497
HUN,22,124.0,2.093421685162235
INA,4,932.0,2.9694159123539814
IND,2,2264.0,3.354876422516234
ITA,72,1851.0,3.267406418752904
JAM,30,14.0,1.146128035678238
JPN,64,4940.0,3.693726948923647
KAZ,18,137.0,2.1367205671564067
KEN,13,70.0,1.845098040014257
KOR,26,1414.0,3.150449409460881
LTU,7,43.0,1.6334684555795864
MEX,5,1046.0,3.0195316845312554
NED,47,777.0,2.890421018800914
NGR,18,405.0,2.6074550232146687
NOR,19,371.0,2.569373909615046
NZL,36,185.0,2.2671717284030137
POL,16,471.0,2.673020907128896
POR,1,205.0,2.311753861055754
RSA,23,295.0,2.469822015978163
RUS,115,1283.0,3.1082266563749283
SRB,54,36.0,1.5563025007672873
SUI,11,659.0,2.8188854145940097
SWE,28,511.0,2.708420900134713
THA,6,407.0,2.60959440922522
TUR,8,863.0,2.9360107957152097
UKR,15,93.0,1.968482948553935
USA,264,18624.0,4.270072962969794
UZB,13,67.0,1.8260748027008264
