NOC,Entries,Medals,Athletes,Medal_Rate
USA,5234,1817,2847,34.72
EUN,650,220,475,33.85
JAM,452,125,212,27.65
RUS,3302,888,1642,26.89
CUB,1254,323,735,25.76
SRB,358,85,212,23.74
NOR,653,154,354,23.58
GER,4042,941,1999,23.28
NED,1930,439,1030,22.75
CHN,3472,783,1902,22.55
AUS,3931,874,2055,22.23
ETH,198,43,135,21.72
SCG,300,64,193,21.33
CRO,707,138,381,19.52
PAR,93,17,75,18.28
DEN,928,167,508,18.0
KEN,392,69,296,17.6
KOR,2346,405,1300,17.26
AZE,265,44,180,16.6
GBR,3260,539,1662,16.53
NGR,559,92,361,16.46
BAH,221,36,89,16.29
MNE,89,14,52,15.73
BRA,2265,352,1210,15.54
ROU,1483,230,594,15.51
ITA,3062,467,1510,15.25
ARG,1201,183,726,15.24
FRA,3256,482,1620,14.8
JPN,2909,425,1548,14.61
HUN,1783,256,807,14.36
INA,268,38,175,14.18
ESP,2832,385,1488,13.59
GEO,247,32,152,12.96
SWE,1363,167,676,12.25
IRI,312,38,226,12.18
LTU,512,61,270,11.91
GHA,169,20,124,11.83
CMR,175,20,139,11.43
TTO,200,22,82,11.0
CAN,2874,301,1513,10.47
PAK,155,16,121,10.32
BLR,1246,124,603,9.95
PRK,438,43,236,9.82
UKR,1979,188,936,9.5
ARM,174,16,118,9.2
FIJ,143,13,95,9.09
BUL,906,82,445,9.05
CHI,246,22,149,8.94
NZL,1302,112,760,8.6
TPE,538,46,316,8.55
TUR,565,48,356,8.5
POL,1795,152,953,8.47
KAZ,831,70,502,8.42
SVK,509,42,259,8.25
ISL,190,15,92,7.89
CZE,954,71,470,7.44
MGL,209,15,131,7.18
UZB,464,33,274,7.11
THA,395,27,228,6.84
TJK,60,4,43,6.67
BEL,740,48,392,6.49
SLO,507,30,262,5.92
SUI,1013,59,504,5.82
GRE,1325,76,769,5.74
EST,322,18,169,5.59
MAS,288,16,148,5.56
RSA,1020,56,625,5.49
IOA,93,5,75,5.38
MEX,847,45,539,5.31
NAM,77,4,40,5.19
LAT,336,17,178,5.06
FIN,596,29,313,4.87
ZIM,145,7,85,4.83
MAR,363,17,267,4.68
KSA,142,6,81,4.23
MDA,191,8,116,4.19
ALG,375,15,260,4.0
VIE,104,4,68,3.85
AUT,693,26,360,3.75
SYR,55,2,41,3.64
SGP,221,8,92,3.62
COL,615,22,361,3.58
IRL,539,18,324,3.34
QAT,153,5,116,3.27
DOM,187,6,142,3.21
CRC,94,3,67,3.19
BRN,96,3,77,3.12
TCH,269,8,208,2.97
IND,558,14,364,2.51
ISR,361,9,183,2.49
TUN,359,8,263,2.23
PHI,140,3,91,2.14
UGA,95,2,70,2.11
UAE,97,2,64,2.06
JOR,50,1,38,2.0
CIV,101,2,66,1.98
POR,694,13,381,1.87
ZAM,55,1,41,1.82
PAN,55,1,34,1.82
GAB,56,1,42,1.79
MKD,62,1,37,1.61
KUW,125,2,93,1.6
BOT,63,1,45,1.59
EGY,708,11,479,1.55
KGZ,212,3,122,1.42
VEN,514,7,315,1.36
PUR,382,5,253,1.31
HKG,335,4,170,1.19
SRI,86,1,52,1.16
ECU,174,2,107,1.15
BAR,118,1,62,0.85
URU,125,1,92,0.8
MRI,126,1,77,0.79
CYP,140,1,78,0.71
PER,153,1,111,0.65
GUA,168,1,90,0.6
ISV,93,0,54,0.0
MLI,65,0,55,0.0
IRQ,71,0,69,0.0
ANT,64,0,40,0.0
MAD,71,0,45,0.0
BIH,73,0,45,0.0
ANG,217,0,135,0.0
LUX,83,0,40,0.0
LIB,55,0,42,0.0
BER,78,0,46,0.0
ESA,70,0,45,0.0
TKM,54,0,41,0.0
BOL,70,0,48,0.0
MLT,51,0,32,0.0
TAN,51,0,38,0.0
NCA,67,0,55,0.0
HON,133,0,109,0.0
CAY,52,0,27,0.0
COD,55,0,46,0.0
HAI,50,0,41,0.0
GUM,85,0,48,0.0
SEY,75,0,47,0.0
SEN,161,0,113,0.0
PNG,72,0,41,0.0
ALB,58,0,38,0.0
